Raw_Type,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,pslist_avg_handlers,dlllist_ndlls,dlllist_avg_dlls_per_proc,handles_nhandles,handles_avg_handles_per_proc,handles_nport,handles_nfile,handles_nevent,handles_ndesktop,handles_nkey,handles_nthread,handles_ndirectory,handles_nsemaphore,handles_ntimer,handles_nsection,handles_nmutant,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_not_in_load_avg,ldrmodules_not_in_init_avg,ldrmodules_not_in_mem_avg,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,psxview_not_in_pslist,psxview_not_in_eprocess_pool,psxview_not_in_ethread_pool,psxview_not_in_pspcid_list,psxview_not_in_csrss_handles,psxview_not_in_session,psxview_not_in_deskthrd,psxview_not_in_pslist_false_avg,psxview_not_in_eprocess_pool_false_avg,psxview_not_in_ethread_pool_false_avg,psxview_not_in_pspcid_list_false_avg,psxview_not_in_csrss_handles_false_avg,psxview_not_in_session_false_avg,psxview_not_in_deskthrd_false_avg,callbacks_ncallbacks,callbacks_nanonymous,callbacks_ngeneric,modules_nmodules,svcscan_nservices,svcscan_kernel_drivers,svcscan_fs_drivers,svcscan_process_services,svcscan_shared_process_services,svcscan_interactive_process_services,svcscan_nactive,Label,SubType
F:\Run_1\3c6cf2b0d06d011df358561907b3070b645ba0cbc218df1a1d0ecc6770374cc5_trojan/raw/raw_0.bin,136,22,13.066176470588236,133,0.0,6515,49.732824427480914,46289,348.0375939849624,0,1876,10648,137,3352,2147,315,2417,353,906,739,493,626,493,0.0706000286409852,0.0896462838321638,0.0706000286409852,22,1351,22,6,6,0,7,142,14,0,142,0.0422535211267605,0.0,0.0492957746478873,1.0,0.0985915492957746,0.0,1.0,257,217,25,176,1462,731,84,152,2,2,462,Malware,Trojan
F:\Run_1\3c6cf2b0d06d011df358561907b3070b645ba0cbc218df1a1d0ecc6770374cc5_trojan/raw/raw_1.bin,152,22,11.210526315789474,151,0.0,7507,51.417808219178085,52230,357.73972602739724,0,2044,12028,149,3898,2111,342,2891,367,998,868,611,760,611,0.0774299835255354,0.0963122544671144,0.0774299835255354,9,23,9,5,13,0,11,164,20,0,164,0.0792682926829268,0.0,0.0670731707317073,1.0,0.1219512195121951,0.0,1.0,258,217,25,176,1409,705,88,159,2,2,484,Malware,Trojan
F:\Run_1\3c6cf2b0d06d011df358561907b3070b645ba0cbc218df1a1d0ecc6770374cc5_trojan/raw/raw_2.bin,161,26,10.273291925465838,159,0.0,8075,54.19463087248322,56151,371.86092715231786,0,2645,12570,158,4400,1980,355,3110,359,1095,979,572,720,572,0.0678609562225649,0.0854193854549768,0.0678609562225649,27,2444,26,7,8,1,9,169,20,0,169,0.0473372781065088,0.0059171597633136,0.0532544378698224,1.0,0.1183431952662721,0.0,1.0,264,223,25,176,1376,691,81,150,2,2,491,Malware,Trojan
F:\Run_1\3ee35b59b86122376980ea118db6ee299be9c4a746b14cc5b45743cb41b9dfc7_trojan/raw/raw_0.bin,127,16,12.755905511811024,126,0.0,5938,48.67213114754098,41733,339.2926829268293,0,1725,9726,129,3073,1853,289,1822,329,881,755,348,471,348,0.0560296248591209,0.0758331991627757,0.0560296248591209,22,1346,22,6,13,1,11,140,20,0,140,0.0928571428571428,0.0071428571428571,0.0785714285714285,1.0,0.1428571428571428,0.0,1.0,257,217,17,175,1441,728,88,147,2,2,374,Malware,Trojan
F:\Run_1\3ee35b59b86122376980ea118db6ee299be9c4a746b14cc5b45743cb41b9dfc7_trojan/raw/raw_1.bin,133,16,10.06766917293233,132,0.0,6358,49.28682170542636,43634,335.6461538461538,0,1796,9915,133,3295,1593,304,1971,353,938,799,397,528,397,0.0588148148148148,0.0782222222222222,0.0588148148148148,22,1346,22,6,7,0,8,140,14,0,140,0.05,0.0,0.0571428571428571,1.0,0.1,0.0,1.0,257,217,25,175,1419,718,85,153,2,2,379,Malware,Trojan
F:\Run_1\3ee35b59b86122376980ea118db6ee299be9c4a746b14cc5b45743cb41b9dfc7_trojan/raw/raw_2.bin,130,16,9.015384615384615,129,0.0,6172,49.376,41890,332.46031746031747,0,1753,9412,131,3186,1332,297,1889,327,919,662,401,529,401,0.0618254702436016,0.0815602836879432,0.0618254702436016,22,1346,22,6,8,0,9,138,15,0,138,0.0579710144927536,0.0,0.0652173913043478,1.0,0.108695652173913,0.0,1.0,263,223,25,175,1429,721,85,155,2,2,375,Malware,Trojan
F:\Run_1\3fdb31c6da60d4125b0a5b5995edf89c4a8146b1908f7a55b0f01f36e7679ccc_trojan/raw/raw_0.bin,140,20,13.157142857142857,140,0.0,7044,52.17777777777778,48875,359.375,0,2220,11243,144,3557,2236,318,2590,353,904,808,391,528,391,0.0528092922744462,0.0713128038897893,0.0528092922744462,22,1352,22,6,6,0,8,146,16,0,146,0.0410958904109589,0.0,0.0547945205479452,1.0,0.1095890410958904,0.0,1.0,257,217,25,176,1414,714,85,150,2,2,473,Malware,Trojan
F:\Run_1\3fdb31c6da60d4125b0a5b5995edf89c4a8146b1908f7a55b0f01f36e7679ccc_trojan/raw/raw_1.bin,142,17,9.873239436619718,142,0.0,6998,51.45588235294117,47291,345.18978102189783,0,1945,10660,142,3514,1768,318,2453,334,916,725,407,541,407,0.0568832983927323,0.0756114605171209,0.0568832983927323,20,1348,20,6,11,0,13,153,22,0,153,0.0718954248366013,0.0,0.0849673202614379,1.0,0.1437908496732026,0.0,1.0,257,217,25,176,1412,718,84,149,2,2,477,Malware,Trojan
F:\Run_1\3fdb31c6da60d4125b0a5b5995edf89c4a8146b1908f7a55b0f01f36e7679ccc_trojan/raw/raw_2.bin,151,17,9.596026490066226,151,0.0,7452,54.0,50346,349.625,0,2010,11053,152,3917,1728,339,2654,352,1005,796,478,617,478,0.0618050168088957,0.0797776053788466,0.0618050168088957,22,1353,22,6,12,0,15,163,27,0,163,0.0736196319018405,0.0,0.0920245398773006,1.0,0.1656441717791411,0.0,1.0,263,223,25,176,1425,724,85,151,2,2,475,Malware,Trojan
F:\Run_1\4ba80ac7174ff768ccb119a36b6538484ef4b1b7aad842650248b619525e302d_trojan/raw/raw_0.bin,147,21,13.129251700680271,147,0.0,7418,53.36690647482014,51084,362.2978723404256,0,2195,11673,147,3818,2183,332,2755,378,1008,846,442,582,442,0.0569440865756248,0.0749806750837413,0.0569440865756248,23,1619,23,6,4,0,6,151,15,0,151,0.0264900662251655,0.0,0.0397350993377483,1.0,0.0993377483443708,0.0,1.0,262,217,17,176,1429,718,84,150,2,2,474,Malware,Trojan
