hash,filename,yara,vmray_classification,Risk
"E:\Run_1\benign\7ab4a27812e54a0a4ab0a952707f4e185eefe67c5466e9c47d578056e5dfcdda_benign.zip",cwovc.exe,false,-,Clean
"E:\Run_1\benign\0be00b72a65e558aa92a4f197663f3496b2a3ceaa5f77bafe309727141ad77af_benign.zip",wgeprvqd.exe,false,-,Clean
"E:\Run_1\benign\0bf9cfc88d56b52982655b56d577f69d2ee4b136908684015001c52c64f0a84b_benign.zip",dvaon.exe,false,-,Clean
"E:\Run_1\benign\0c1134c20c7f2a20eeda30f998c5e70336e56fa1fde05434028d97f3eeb31c33_benign.zip",xwxtirznnjb.exe,false,-,Clean
"E:\Run_1\benign\0d8d47b0b0bf9291e01f426782ba721d5be30ea9b2547f315c7ca48c367b2aa9_benign.zip",krtqnfwak.exe,false,-,Clean
"E:\Run_1\benign\0e69c9e8e2447ea2c355e3daa30c1697427fe40748a0daabf2d996ab254e89cf_benign.zip",pyuqihctx.exe,false,-,Clean
"E:\Run_1\benign\0e73886d15f788471581cbf3864703206fd96eb79e4683ffa332463507fdcda4_benign.zip",ggoiwfxs.exe,false,-,Clean
"E:\Run_1\benign\0fbcedf08d9e262137afba702687b2de15822149e4a282b9249907134e5ef151_benign.zip",gsiymcq.exe,false,-,Clean
"E:\Run_1\benign\0fe87602f6f2a6dd5acf209eea81ec0555fe1e02d6f781299724238b4cb2e2c1_benign.zip",ffcl.exe,false,-,Clean
"E:\Run_1\benign\0ff0a7429ebd5f19eac9fef4504d12c2b2b66a2b060de1c25d6e8fd08262f6d9_benign.zip",mlae.exe,false,-,Clean
