Raw_Type,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,pstree_nTree,pstree_nHandles,pstree_nPID,pstree_nPPID,pstree_AvgThreads,pstree_nWow64,pstree_AvgChildren,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,pslist_avg_handlers,nConn,nDistinctForeignAdd,nDistinctForeignPort,nDistinctLocalAddr,nDistinctLocalPort,nOwners,nDistinctProc,nListening,Proto_TCPv4,Proto_TCPv6,Proto_UDPv4,Proto_UDPv6,file_total_changes,file_added_files,file_modified_files,file_deleted_files,registry_total_changes,registry_added_files,registry_modified_files,registry_deleted_files,Label,SubType
1c639fbba837b57f28691e7f210a034dd1b55380a13649a64e47be55bb8308a0_benign,22,1347,22,6,127,0,127,16,12.535433070866144,1,0.952755905511811,136,16,12.573529411764708,135,0.0,54,3,1,6,27,8,19,24,13,11,16,14,0,0,0,0,4,1,2,1,Benign,Benign
1d2b8e3bbfcd7546b402c2f379e40d850fd4eceaf20c45fdbfcba0b859e0a7fb_benign,22,1346,22,6,133,0,133,24,5452.511278195489,2,0.9097744360902256,171,28,21913254.30409357,167,0.0,188,52,4,7,147,18,36,24,136,12,22,18,0,0,0,0,4,1,2,1,Benign,Benign
1e171264f1310680b03bb9122633db660378bc411b28ae25c2bfab9f0f06da51_benign,22,1346,22,6,145,0,145,18,3464.255172413793,1,0.9379310344827586,154,18,3262.3896103896104,153,0.0,173,36,3,7,131,15,33,24,122,11,22,18,0,0,0,0,10,3,4,3,Benign,Benign
1fcbe5d51360bee55f55c791a95df8c61f73e117bda89b9439d74df5cee7aa71_benign,23,1615,23,6,149,0,149,24,11209335.234899327,2,0.9194630872483222,168,26,9941613.910714284,165,0.0,172,46,5,7,136,15,34,24,120,11,23,18,0,0,0,0,10,3,4,3,Benign,Benign
2a1c7574a5c42eb8c9348d9dba505ce49f2c88231d7ea6edd3715a39a5decd94_benign,35,2681,35,6,145,0,145,21,13.179310344827586,0,0.9379310344827586,165,22,12.909090909090908,165,0.0,159,39,4,7,122,13,32,24,109,13,21,16,0,0,0,0,4,1,2,1,Benign,Benign
2a922ebe7edb08480baa1721ce1b5185fb5af7f64ec0f128d6a7a37711784815_benign,28,1469,28,7,133,0,133,20,12.601503759398495,2,0.9172932330827068,166,21,11.77710843373494,163,0.0,194,43,7,7,148,19,38,24,132,12,28,22,0,0,0,0,4,1,2,1,Benign,Benign
2b672dd0e086dd4196087712ba0e34af205f518231545646c81d01411fe9bda8_benign,22,1347,22,6,15,0,15,8,22.4,0,0.5333333333333333,145,18,11.875862068965516,144,0.0,68,5,6,6,33,10,23,22,17,11,22,18,0,0,0,0,4,1,2,1,Benign,Benign
2b8f77719ff7528fc7147d381d98f0171390b94b85f84f9b4483e9322f140726_benign,22,1347,22,6,125,0,125,17,12.784,1,0.928,141,18,12.382978723404255,140,0.0,61,4,6,6,31,9,23,22,17,10,18,16,0,0,0,0,10,3,4,3,Benign,Benign
2d09798210455d443e62351b7b9f02fe7412930623a6bcf6b009c94da3f0fb94_benign,22,1347,22,6,126,0,126,16,12.833333333333334,2,0.9365079365079364,137,17,12.751824817518248,135,0.0,53,5,2,6,29,7,19,22,13,11,16,13,0,0,0,0,10,3,4,3,Benign,Benign
2d9861d0185e05d493c8d5bbae368263f15c0fa66fc7e70c9eae8bba1b43be26_benign,22,1347,22,6,152,0,152,20,3921621.0263157897,0,0.9407894736842104,161,20,3702400.633540373,161,0.0,177,33,6,7,121,16,35,24,115,14,26,22,0,0,0,0,10,3,4,3,Benign,Benign
2debeb3bd8ee05e342aec360134d65f6f3e637145ebc001f243e21e58d8503f2_benign,22,1346,22,6,125,0,125,16,12.776,1,0.936,135,16,12.733333333333333,134,0.0,58,4,2,6,28,8,20,24,14,11,18,15,0,0,0,0,10,3,4,3,Benign,Benign
2e2a40d004346e95cdb0a91dcd881be1f2ee6d9eef16f239c40f6b4e2383c656_benign,22,1347,22,6,130,0,130,18,13.038461538461538,1,0.9307692307692308,161,19,12.354037267080743,160,0.0,170,33,5,7,124,16,33,26,109,14,26,21,0,0,0,0,4,1,2,1,Benign,Benign
2edf7c8fd59cd5fcd19fa528f60cbd6ddb9a8076ae0280b11d8ea8eaf7d39958_benign,33,2142,33,6,151,0,151,17,13.642384105960264,0,0.9470198675496688,161,17,13.509316770186336,161,0.0,181,46,4,7,133,14,32,24,132,11,21,17,0,0,0,0,4,1,2,1,Benign,Benign
3a26e84b22e7665a55f0857da23a05e3ef3ed430242b6f7635909981cdbeba94_benign,34,2410,34,6,147,0,147,20,1796.2789115646258,0,0.9319727891156464,167,21,1582.497005988024,167,0.0,167,42,4,6,118,14,33,24,118,12,21,16,0,0,0,0,4,1,2,1,Benign,Benign
3b812075fee45f45ae2d9801c25eb4cadef412b703a1df9c29060bad61fbb039_benign,22,1346,22,6,125,0,125,16,12.944,1,0.936,135,16,12.911111111111111,133,0.0,57,5,2,7,28,9,21,22,12,12,18,15,0,0,0,0,4,1,2,1,Benign,Benign
3bc5906d625e95dfb4744c2baa1e1a5d1b3f73ee663cc149f02ef7eaf23986c0_benign,22,1347,22,6,7,0,7,3,29.428571428571427,0,0.4285714285714285,137,17,12.656934306569344,136,0.0,54,4,2,6,28,7,19,24,14,11,16,13,0,0,0,0,4,1,2,1,Benign,Benign
3ccc132059602cbf7dc3acf61a7f83d443a8379a784cc660575858bdb455e6cc_benign,33,2137,33,6,156,0,156,17,1694.1346153846157,1,0.9487179487179488,166,18,1592.7409638554218,165,0.0,180,34,4,6,140,15,33,24,121,12,26,21,0,0,0,0,4,1,2,1,Benign,Benign
3d1ac5f16b486805bfea6e9152cc60251b7e8f4a8580187afef978347e523f46_benign,23,1616,23,6,143,0,143,22,12.748251748251748,0,0.93006993006993,169,23,12.29585798816568,168,0.0,151,36,3,6,112,15,34,24,98,11,23,19,8,0,8,0,263,52,5,206,Benign,Benign
3d8b868359f623a9441e336d32c360352bf819114052599d3c85ab69e60d1de9_benign,23,1617,23,6,149,0,149,23,12.838926174496644,5,0.9463087248322148,155,23,12.935483870967742,150,0.0,184,36,4,6,127,15,34,24,113,11,32,28,0,0,0,0,4,1,2,1,Benign,Benign
3e71f762320a9af8159d51e374a64ebd4916a92e3de3be8dc1e22d86410982c5_benign,38,3488,38,6,138,0,138,20,12.978260869565217,0,0.9420289855072465,155,22,12.503225806451614,155,0.0,165,44,4,7,123,14,30,24,117,11,21,16,0,0,0,0,10,3,4,3,Benign,Benign
4a43f1eef4605f99278e609a8d372bc2386fb8f63ba6999e3ff5c3b80142a6f9_benign,22,1347,22,6,155,0,155,17,14.264516129032256,2,0.935483870967742,166,17,13.897590361445785,164,0.0,189,39,3,7,132,16,36,24,123,11,30,25,0,0,0,0,10,3,4,3,Benign,Benign
4a495b476cc33e6be712a77184626725ec10e3f31b89d3c53010bd620bcd0cbb_benign,38,3487,38,6,142,0,142,21,13.119718309859154,0,0.9366197183098592,153,22,12.862745098039216,153,0.0,167,49,4,7,129,14,31,24,114,12,23,18,0,0,0,0,4,1,2,1,Benign,Benign
